defined_class	defined_class_label	entity	entity_label
MP:0011376	"abnormal kidney corticomedullary boundary morphology"	UBERON:0009917	"kidney corticomedullary boundary"
MP:0011313	"abnormal kidney efferent arteriole morphology"	UBERON:0004640	"renal efferent arteriole"
MP:0004967	"abnormal kidney epithelium morphology"	UBERON:0004819	"kidney epithelium"
MP:0011333	"abnormal kidney inner medulla morphology"	UBERON:0001294	"inner medulla of kidney"
MP:0011355	"abnormal kidney interlobar artery morphology"	UBERON:0009885	"interlobar artery"
MP:0011316	"abnormal kidney interlobular artery morphology"	UBERON:0004723	"interlobular artery"
MP:0011425	"abnormal kidney interstitium morphology"	UBERON:0005215	"kidney interstitium"
MP:0011381	"abnormal kidney lobe morphology"	UBERON:0009913	"renal lobe"
MP:0011382	"abnormal kidney lobule morphology"	UBERON:0009914	"renal lobule"
MP:0003014	"abnormal kidney medulla morphology"	UBERON:0000362	"renal medulla"
MP:0011347	"abnormal kidney medullary ray morphology"	UBERON:0009883	"medullary ray"
MP:0010985	"abnormal kidney mesenchyme morphology"	UBERON:0003918	"kidney mesenchyme"
MP:0002135	"abnormal kidney morphology"	UBERON:0002113	"kidney"
MP:0011378	"abnormal kidney outer medulla inner stripe morphology"	UBERON:0004201	"kidney outer medulla inner stripe"
MP:0011332	"abnormal kidney outer medulla morphology"	UBERON:0001293	"outer medulla of kidney"
MP:0011379	"abnormal kidney outer medulla outer stripe morphology"	UBERON:0004202	"kidney outer medulla outer stripe"
MP:0011330	"abnormal kidney outer medulla vasa recta morphology"	UBERON:0004775	"outer renal medulla vasa recta"
MP:0004193	"abnormal kidney papilla morphology"	UBERON:0001228	"renal papilla"
MP:0004194	"abnormal kidney pelvis morphology"	UBERON:0001224	"renal pelvis"
MP:0011335	"abnormal kidney pelvis smooth muscle morphology"	UBERON:0004227	"kidney pelvis smooth muscle"
MP:0011336	"abnormal kidney pelvis urothelium morphology"	UBERON:0004788	"kidney pelvis urothelium"
MP:0004192	"abnormal kidney pyramid morphology"	UBERON:0004200	"kidney pyramid"
MP:0011324	"abnormal kidney vasa recta morphology"	UBERON:0004726	"vasa recta"
MP:0011311	"abnormal kidney venous blood vessel morphology"	UBERON:0014401	"renal venous blood vessel"
MP:0011060	"abnormal kinocilium morphology"	GO:0060091	"kinocilium"
MP:0003515	"abnormal labia majora morphology"	UBERON:0004085	"labium majora"
MP:0003520	"abnormal labia minora morphology"	UBERON:0004014	"labium minora"
MP:0003511	"abnormal labium morphology"	UBERON:0004084	"genital labium"
MP:0014007	"abnormal labyrinthine artery morphology"	UBERON:0018231	"labyrinthine artery"
MP:0008968	"abnormal lacrimal apparatus morphology"	UBERON:0001750	"lacrimal apparatus"
MP:0005271	"abnormal lacrimal bone morphology"	UBERON:0001680	"lacrimal bone"
MP:0001346	"abnormal lacrimal gland morphology"	UBERON:0001817	"lacrimal gland"
MP:3000005	"abnormal lacrimal sac morphology"	UBERON:0001351	"lacrimal sac"
MP:0008323	"abnormal lactotroph morphology"	CL:0000439	"prolactin secreting cell"
MP:0003841	"abnormal lambdoid suture morphology"	UBERON:0002491	"lambdoid suture"
MP:0012540	"abnormal lamina terminalis morphology"	UBERON:0005078	"lamina terminalis of neural tube"
MP:0004842	"abnormal large intestine crypts of Lieberkuhn morphology"	UBERON:0001984	"crypt of Lieberkuhn of large intestine"
MP:0013793	"abnormal large intestine goblet cell morphology"	CL:1000320	"large intestine goblet cell"
MP:0000489	"abnormal large intestine morphology"	UBERON:0000059	"large intestine"
MP:0002256	"abnormal laryngeal cartilage morphology"	UBERON:0001739	"laryngeal cartilage"
MP:0002261	"abnormal laryngeal mucosa morphology"	UBERON:0004816	"larynx epithelium"
MP:0002263	"abnormal laryngeal muscle morphology"	UBERON:0001568	"muscle of larynx"
MP:0002249	"abnormal larynx morphology"	UBERON:0001737	"larynx"
MP:0009803	"abnormal lateral aperture morphology"	UBERON:0003992	"fourth ventricle lateral aperture"
MP:0009034	"abnormal lateral cerebellomedullary cistern morphology"	UBERON:0004051	"lateral cerebellomedullary cistern"
MP:0009683	"abnormal lateral corticospinal tract morphology"	UBERON:0002589	"lateral corticospinal tract"
MP:0004277	"abnormal lateral ganglionic eminence morphology"	UBERON:0004025	"lateral ganglionic eminence"
MP:0004165	"abnormal lateral geniculate nucleus morphology"	UBERON:0001926	"lateral geniculate body"
MP:0013582	"abnormal lateral nasal gland morphology"	UBERON:0035077	"lateral nasal gland"
MP:0009902	"abnormal lateral nasal prominence morphology"	UBERON:0004067	"lateral nasal prominence"
MP:0000823	"abnormal lateral ventricle morphology"	UBERON:0002285	"telencephalic ventricle"
MP:0009569	"abnormal left lung morphology"	UBERON:0002168	"left lung"
MP:0002265	"abnormal left major bronchus morphology"	UBERON:0002178	"left main bronchus"
MP:0010566	"abnormal left posterior bundle morphology"	UBERON:0005986	"left branch of atrioventricular bundle"
MP:0011319	"abnormal left renal artery morphology"	UBERON:0001186	"left renal artery"
MP:0011327	"abnormal left renal vein morphology"	UBERON:0001142	"left renal vein"
MP:0010488	"abnormal left subclavian artery morphology"	UBERON:0001584	"left subclavian artery"
MP:0003236	"abnormal lens capsule morphology"	UBERON:0001804	"capsule of lens"
MP:0003237	"abnormal lens epithelium morphology"	UBERON:0001803	"epithelium of lens"
MP:0002840	"abnormal lens fiber morphology"	UBERON:0002444	"lens fiber"
MP:0001303	"abnormal lens morphology"	UBERON:0000965	"lens of camera-type eye"
MP:0008246	"abnormal leukocyte morphology"	CL:0000738	"leukocyte"
MP:0005504	"abnormal ligament morphology"	UBERON:0000211	"ligament"
MP:0002115	"abnormal limb bone morphology"	UBERON:0010740	"bone of appendage girdle complex"
MP:0005650	"abnormal limb bud morphology"	UBERON:0004347	"limb bud"
MP:0011504	"abnormal limb long bone morphology"	UBERON:0003606	"limb long bone"
MP:0011261	"abnormal limb mesenchyme morphology"	UBERON:0009749	"limb mesenchyme"
MP:0002109	"abnormal limb morphology"	UBERON:0002101	"limb"
MP:0011685	"abnormal limb paddle morphology"	UBERON:0012300	"limb paddle"
MP:0004166	"abnormal limbic system morphology"	UBERON:0000349	"limbic system"
MP:0006250	"abnormal line of Schwalbe morphology"	UBERON:0011918	"line of Schwalbe"
MP:0002385	"abnormal lingual tonsillar tissue morphology"	UBERON:0007250	"lingual tonsil"
MP:0003769	"abnormal lip morphology"	UBERON:0001833	"lip"
MP:0012235	"abnormal liver bud morphology"	UBERON:0003894	"liver primordium"
MP:0008987	"abnormal liver lobule morphology"	UBERON:0004647	"liver lobule"
MP:0000598	"abnormal liver morphology"	UBERON:0002107	"liver"
MP:0008986	"abnormal liver parenchyma morphology"	UBERON:0001280	"liver parenchyma"
MP:0008988	"abnormal liver perisinusoidal space morphology"	UBERON:0006729	"liver perisinusoidal space"
MP:0008989	"abnormal liver sinusoid morphology"	UBERON:0001281	"hepatic sinusoid"
MP:0010005	"abnormal lobule simplex morphology"	UBERON:0005350	"lobule simplex"
MP:0004214	"abnormal long bone diaphysis morphology"	UBERON:0006861	"diaphysis proper"
MP:0006399	"abnormal long bone epiphyseal ossification zone morphology"	UBERON:0003958	"long bone epiphyseal ossification zone"
MP:0000131	"abnormal long bone epiphysis morphology"	UBERON:0001437	"epiphysis"
MP:0000133	"abnormal long bone metaphysis morphology"	UBERON:0001438	"metaphysis"
MP:0003723	"abnormal long bone morphology"	UBERON:0002495	"long bone"
MP:0010084	"abnormal long lived plasma cell morphology"	CL:0000974	"long lived plasma cell"
MP:0011342	"abnormal loop of Henle ascending limb morphology"	UBERON:0005164	"ascending limb of loop of Henle"
MP:0011344	"abnormal loop of Henle ascending limb thick segment morphology"	UBERON:0001291	"thick ascending limb of loop of Henle"
MP:0011343	"abnormal loop of Henle ascending limb thin segment morphology"	UBERON:0004193	"loop of Henle ascending limb thin segment"
MP:0011341	"abnormal loop of Henle descending limb morphology"	UBERON:0001289	"descending limb of loop of Henle"
MP:0004755	"abnormal loop of Henle morphology"	UBERON:0001288	"loop of Henle"
MP:0030136	"abnormal lower incisor morphology"	UBERON:0003451	"lower jaw incisor"
MP:0012524	"abnormal lower lip morphology"	UBERON:0001835	"lower lip"
MP:0012527	"abnormal lower rhombic lip morphology"	UBERON:0009840	"lower rhombic lip"
MP:0006404	"abnormal lumbar dorsal root ganglion morphology"	UBERON:0002836	"lumbar dorsal root ganglion"
MP:0003049	"abnormal lumbar vertebrae morphology"	UBERON:0002414	"lumbar vertebra"
MP:0010906	"abnormal lung bud morphology"	UBERON:0000118	"lung bud"
MP:0006382	"abnormal lung epithelium morphology"	UBERON:0000115	"lung epithelium"
MP:0002276	"abnormal lung interstitium morphology"	UBERON:0000114	"lung connective tissue"
MP:0010975	"abnormal lung lobe morphology"	UBERON:0000101	"lobe of lung"
MP:0001175	"abnormal lung morphology"	UBERON:0002048	"lung"
MP:0010825	"abnormal lung saccule morphology"	UBERON:0000116	"lung saccule"
MP:0004007	"abnormal lung vasculature morphology"	UBERON:0003512	"lung blood vessel"
MP:0010774	"abnormal lymph node follicular mantle morphology"	UBERON:0010420	"lymph node follicular corona"
MP:0008522	"abnormal lymph node germinal center morphology"	UBERON:0009039	"lymph node germinal center"
MP:0011224	"abnormal lymph node medullary cord morphology"	UBERON:0009745	"lymph node medullary cord"
MP:0011222	"abnormal lymph node medullary sinus morphology"	UBERON:0009744	"lymph node medullary sinus"
MP:0002339	"abnormal lymph node morphology"	UBERON:0000029	"lymph node"
MP:0010195	"abnormal lymphatic vessel endothelium morphology"	UBERON:0002042	"lymphatic vessel endothelium"
MP:0001879	"abnormal lymphatic vessel morphology"	UBERON:0001473	"lymphatic vessel"
MP:0010196	"abnormal lymphatic vessel smooth muscle morphology"	UBERON:0004232	"lymphatic vessel smooth muscle"
MP:0002619	"abnormal lymphocyte morphology"	CL:0000542	"lymphocyte"
MP:0005058	"abnormal lysosome morphology"	GO:0005764	"lysosome"
MP:0008243	"abnormal macrophage derived foam cell morphology"	CL:0000517	"macrophage derived foam cell"
MP:0002446	"abnormal macrophage morphology"	CL:0000235	"macrophage"
MP:0011299	"abnormal macula densa morphology"	UBERON:0002335	"macula densa"
MP:0009467	"abnormal magnocellular neurosecretory cell morphology"	CL:0011112	"magnocellular neurosecretory cell"
MP:0003792	"abnormal major salivary gland morphology"	UBERON:0001829	"major salivary gland"
MP:0009528	"abnormal major sublingual duct morphology"	UBERON:0003985	"major sublingual duct"
MP:0013330	"abnormal male accessory sex gland morphology"	UBERON:0010147	"male accessory sex gland"
MP:0009198	"abnormal male genitalia morphology"	UBERON:0003135	"male reproductive organ"
MP:0006362	"abnormal male germ cell morphology"	CL:0000015	"male germ cell"
MP:0008016	"abnormal male inguinal canal morphology"	UBERON:0004354	"male inguinal canal"
MP:0011778	"abnormal male membranous urethra morphology"	UBERON:0012302	"male membranous urethra"
MP:0002717	"abnormal male preputial gland morphology"	UBERON:0005301	"male preputial gland"
MP:0011777	"abnormal male prostatic urethra morphology"	UBERON:0001335	"prostatic urethra"
MP:0013325	"abnormal male reproductive gland morphology"	UBERON:0005399	"male reproductive gland"
MP:0001145	"abnormal male reproductive system morphology"	UBERON:0000079	"male reproductive system"
MP:0011779	"abnormal male spongy urethra morphology"	UBERON:0001337	"spongiose part of urethra"
MP:0011776	"abnormal male urethra morphology"	UBERON:0001333	"male urethra"
MP:0011841	"abnormal male urethral crest morphology"	UBERON:0012297	"male urethral crest"
MP:0011794	"abnormal male urethral gland morphology"	UBERON:0010186	"male urethral gland"
MP:0010325	"abnormal malleus head morphology"	UBERON:0005342	"malleus head"
MP:0008374	"abnormal malleus manubrium morphology"	UBERON:0006722	"manubrium of malleus"
MP:0000029	"abnormal malleus morphology"	UBERON:0001689	"malleus bone"
MP:0010327	"abnormal malleus neck morphology"	UBERON:0005355	"malleus neck"
MP:0010324	"abnormal malleus processus brevis morphology"	UBERON:0005354	"malleus processus brevis"
MP:0013782	"abnormal mammary duct terminal end bud morphology"	UBERON:0005313	"mammary duct terminal end bud"
MP:0008904	"abnormal mammary fat pad morphology"	UBERON:0012282	"mammary fat pad"
MP:0009506	"abnormal mammary gland alveolus morphology"	UBERON:0003214	"mammary gland alveolus"
MP:0013785	"abnormal mammary gland bud morphology"	UBERON:0005333	"mammary bud"
MP:0009507	"abnormal mammary gland connective tissue morphology"	UBERON:0003584	"mammary gland connective tissue"
MP:0013725	"abnormal mammary gland cord morphology"	UBERON:0004182	"mammary gland cord"
MP:0009503	"abnormal mammary gland duct morphology"	UBERON:0001765	"mammary duct"
MP:0009504	"abnormal mammary gland epithelium morphology"	UBERON:0003244	"epithelium of mammary gland"
MP:0009505	"abnormal mammary gland lobule morphology"	UBERON:0001912	"lobule of mammary gland"
MP:0013781	"abnormal mammary gland luminal epithelium morphology"	UBERON:0011950	"mammary gland luminal epithelium"
MP:0000627	"abnormal mammary gland morphology"	UBERON:0001911	"mammary gland"
MP:0013778	"abnormal mammary gland myoepithelium morphology"	UBERON:0006954	"mammary gland myoepithelium"
MP:0013720	"abnormal mammary line morphology"	UBERON:0008425	"mammary ridge"
MP:0013721	"abnormal mammary placode morphology"	UBERON:0005311	"mammary placode"
MP:0004162	"abnormal mammillary body morphology"	UBERON:0002206	"mammillary body"
MP:0012454	"abnormal mammillothalamic tract morphology"	UBERON:0002990	"mammillothalamic tract of hypothalamus"
MP:0009376	"abnormal manchette morphology"	GO:0002177	"manchette"
MP:0000458	"abnormal mandible morphology"	UBERON:0001684	"mandible"
MP:0004596	"abnormal mandibular angle morphology"	UBERON:0006959	"mandible angular process"
MP:0030232	"abnormal mandibular canal morphology"	UBERON:0006673	"mandibular canal"
MP:0004595	"abnormal mandibular condyloid process morphology"	UBERON:0004657	"mandible condylar process"
MP:0004594	"abnormal mandibular coronoid process morphology"	UBERON:0004660	"mandible coronoid process"
MP:0009800	"abnormal mandibular nerve morphology"	UBERON:0000375	"mandibular nerve"
MP:0010939	"abnormal mandibular prominence morphology"	UBERON:0005867	"mandibular prominence"
MP:0010150	"abnormal mandibular ramus morphology"	UBERON:0000401	"mandibular ramus"
