defined_class	defined_class_label	entity	entity_label
MP:0000910	"small facial motor nucleus"	UBERON:0000127	"facial nucleus"
MP:0006341	"small first pharyngeal arch"	UBERON:0004362	"pharyngeal arch 1"
MP:0000927	"small floor plate"	UBERON:0003079	"floor plate"
MP:0030389	"small fontanelles"	UBERON:0002221	"fontanelle"
MP:0030043	"small forehead"	UBERON:0008200	"forehead"
MP:0013166	"small forelimb buds"	UBERON:0005417	"forelimb bud"
MP:0013576	"small forestomach"	UBERON:0008827	"murine forestomach"
MP:0030134	"small fourth pharyngeal arch"	UBERON:0003115	"pharyngeal arch 4"
MP:0013910	"small fourth ventricle"	UBERON:0002422	"fourth ventricle"
MP:0004377	"small frontal bone"	UBERON:0000209	"tetrapod frontal bone"
MP:0030249	"small frontonasal prominence"	UBERON:0004066	"frontonasal prominence"
MP:0005675	"small gallbladder"	UBERON:0002110	"gall bladder"
MP:0001083	"small geniculate ganglion"	UBERON:0001700	"geniculate ganglion"
MP:0001116	"small gonad"	UBERON:0000991	"gonad"
MP:0030125	"small gonial bone"	UBERON:0003966	"gonial bone"
MP:0000380	"small hair follicles"	UBERON:0002073	"hair follicle"
MP:0002188	"small heart"	UBERON:0000948	"heart"
MP:0013169	"small hindlimb buds"	UBERON:0005418	"hindlimb bud"
MP:0008283	"small hippocampus"	UBERON:0001954	"Ammon's horn"
MP:0020303	"small horns"	UBERON:0006967	"horn"
MP:0013825	"small hypoglossal canal"	UBERON:0006682	"hypoglossal canal"
MP:0030079	"small incisors"	UBERON:0001098	"incisor tooth"
MP:0030106	"small incus"	UBERON:0001688	"incus bone"
MP:0000526	"small inner medullary pyramid"	UBERON:0001294	"inner medulla of kidney"
MP:0004384	"small interparietal bone"	UBERON:0002229	"interparietal bone"
MP:0004682	"small intervertebral disk"	UBERON:0001066	"intervertebral disk"
MP:0004689	"small ischium"	UBERON:0001274	"ischium"
MP:0002989	"small kidney"	UBERON:0002113	"kidney"
MP:0003513	"small labia"	UBERON:0004084	"genital labium"
MP:0003518	"small labia majora"	UBERON:0004085	"labium majora"
MP:0003523	"small labia minora"	UBERON:0004014	"labium minora"
MP:0030055	"small lacrimal bone"	UBERON:0001680	"lacrimal bone"
MP:0013908	"small lateral ventricles"	UBERON:0002285	"telencephalic ventricle"
MP:0001306	"small lens"	UBERON:0000965	"lens of camera-type eye"
MP:0004575	"small limb buds"	UBERON:0004347	"limb bud"
MP:0000601	"small liver"	UBERON:0002107	"liver"
MP:0030080	"small lower incisors"	UBERON:0003451	"lower jaw incisor"
MP:0003641	"small lung"	UBERON:0002048	"lung"
MP:0010976	"small lung lobe"	UBERON:0000101	"lobe of lung"
MP:0010827	"small lung saccule"	UBERON:0000116	"lung saccule"
MP:0002217	"small lymph nodes"	UBERON:0000029	"lymph node"
MP:0000687	"small lymphoid organs"	UBERON:0004177	"hemopoietic organ"
MP:0002716	"small male preputial glands"	UBERON:0005301	"male preputial gland"
MP:0008372	"small malleus"	UBERON:0001689	"malleus bone"
MP:0008376	"small malleus manubrium"	UBERON:0006722	"manubrium of malleus"
MP:0008378	"small malleus processus brevis"	UBERON:0005354	"malleus processus brevis"
MP:0004592	"small mandible"	UBERON:0001684	"mandible"
MP:0030258	"small mandibular condyloid process"	UBERON:0004657	"mandible condylar process"
MP:0030283	"small mandibular coronoid process"	UBERON:0004660	"mandible coronoid process"
MP:0030346	"small mandibular prominence"	UBERON:0005867	"mandibular prominence"
MP:0004540	"small maxilla"	UBERON:0002397	"maxilla"
MP:0030342	"small maxillary prominence"	UBERON:0005868	"maxillary prominence"
MP:0000907	"small mesencephalic trigeminal nucleus"	UBERON:0001718	"mesencephalic nucleus of trigeminal nerve"
MP:0011365	"small metanephros"	UBERON:0000081	"metanephros"
MP:0030123	"small middle ear ossicles"	UBERON:0001686	"auditory ossicle bone"
MP:0006402	"small molars"	UBERON:0003655	"molar tooth"
MP:0004565	"small myocardial fiber"	CL:0000746	"cardiac muscle cell"
MP:0004470	"small nasal bone"	UBERON:0001681	"nasal bone"
MP:0030035	"small nasal bridge"	UBERON:0008340	"nasal bridge"
MP:0030197	"small nasal septum"	UBERON:0001706	"nasal septum"
